name,target,bodyPart,equipment,source_file,instructions,secondary_muscles,full_text,gif_url
Barbell Lying Close-Grip Press,triceps,upper arms,barbell,exercise_dataset,,,"Exercice : Barbell Lying Close-Grip Press
Partie du corps : upper arms
Muscle ciblé : triceps
Équipement : barbell",
Barbell Lying Close-Grip Triceps Extension,triceps,upper arms,barbell,exercise_dataset,,,"Exercice : Barbell Lying Close-Grip Triceps Extension
Partie du corps : upper arms
Muscle ciblé : triceps
Équipement : barbell",
Barbell Lying Extension,triceps,upper arms,barbell,exercise_dataset,,,"Exercice : Barbell Lying Extension
Partie du corps : upper arms
Muscle ciblé : triceps
Équipement : barbell",
Barbell Lying Triceps Extension Skull Crusher,triceps,upper arms,barbell,exercise_dataset,,,"Exercice : Barbell Lying Triceps Extension Skull Crusher
Partie du corps : upper arms
Muscle ciblé : triceps
Équipement : barbell",
Barbell Bent Over Row,upper back,back,barbell,exercise_dataset,,,"Exercice : Barbell Bent Over Row
Partie du corps : back
Muscle ciblé : upper back
Équipement : barbell",
Barbell Incline Row,upper back,back,barbell,exercise_dataset,,,"Exercice : Barbell Incline Row
Partie du corps : back
Muscle ciblé : upper back
Équipement : barbell",
Barbell One Arm Bent Over Row,upper back,back,barbell,exercise_dataset,,,"Exercice : Barbell One Arm Bent Over Row
Partie du corps : back
Muscle ciblé : upper back
Équipement : barbell",
Barbell Reverse Grip Bent Over Row,upper back,back,barbell,exercise_dataset,,,"Exercice : Barbell Reverse Grip Bent Over Row
Partie du corps : back
Muscle ciblé : upper back
Équipement : barbell",
Cable Decline Seated Wide-Grip Row,upper back,back,cable,exercise_dataset,,,"Exercice : Cable Decline Seated Wide-Grip Row
Partie du corps : back
Muscle ciblé : upper back
Équipement : cable",
Cable Floor Seated Wide-Grip Row,upper back,back,cable,exercise_dataset,,,"Exercice : Cable Floor Seated Wide-Grip Row
Partie du corps : back
Muscle ciblé : upper back
Équipement : cable",
Cable High Row (Kneeling),upper back,back,cable,exercise_dataset,,,"Exercice : Cable High Row (Kneeling)
Partie du corps : back
Muscle ciblé : upper back
Équipement : cable",
Cable Low Seated Row,upper back,back,cable,exercise_dataset,,,"Exercice : Cable Low Seated Row
Partie du corps : back
Muscle ciblé : upper back
Équipement : cable",
Cable One Arm Bent Over Row,upper back,back,cable,exercise_dataset,,,"Exercice : Cable One Arm Bent Over Row
Partie du corps : back
Muscle ciblé : upper back
Équipement : cable",
Cable One Arm Straight Back High Row (Kneeling),upper back,back,cable,exercise_dataset,,,"Exercice : Cable One Arm Straight Back High Row (Kneeling)
Partie du corps : back
Muscle ciblé : upper back
Équipement : cable",
